timestamp,soc,voltage,current,power,charging,raw_payload
2026-06-25T07:35:54.152439,98.1,25.044,0.396,9.91,0,"{""soc"":98.1,""voltage"":25.044,""current"":0.396,""power"":9.91,""ocv"":25.066,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""starting"",""uptime_s"":701}"
2026-06-25T07:35:59.575617,98.1,25.044,0.437,10.96,0,"{""soc"":98.1,""voltage"":25.044,""current"":0.437,""power"":10.96,""ocv"":25.067,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""starting"",""uptime_s"":706}"
2026-06-25T07:36:04.284427,98.1,25.043,0.435,10.87,0,"{""soc"":98.1,""voltage"":25.043,""current"":0.435,""power"":10.87,""ocv"":25.066,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""starting"",""uptime_s"":711}"
2026-06-25T07:36:09.235532,98.1,25.041,0.547,13.69,0,"{""soc"":98.1,""voltage"":25.041,""current"":0.547,""power"":13.69,""ocv"":25.070,""cell_v"":4.174,""charging"":false,""latch"":true,""pi_status"":""starting"",""uptime_s"":716}"
2026-06-25T07:36:14.228048,98.1,25.04,0.465,11.65,0,"{""soc"":98.1,""voltage"":25.040,""current"":0.465,""power"":11.65,""ocv"":25.065,""cell_v"":4.173,""charging"":false,""latch"":true,""pi_status"":""starting"",""uptime_s"":721}"
2026-06-25T07:36:19.255420,98.1,25.038,0.58,14.51,0,"{""soc"":98.1,""voltage"":25.038,""current"":0.580,""power"":14.51,""ocv"":25.069,""cell_v"":4.173,""charging"":false,""latch"":true,""pi_status"":""starting"",""uptime_s"":726}"
2026-06-25T07:36:24.165764,98.0,25.036,0.489,12.25,0,"{""soc"":98.0,""voltage"":25.036,""current"":0.489,""power"":12.25,""ocv"":25.062,""cell_v"":4.173,""charging"":false,""latch"":true,""pi_status"":""starting"",""uptime_s"":731}"
2026-06-25T07:36:29.304536,98.0,25.035,0.554,13.87,0,"{""soc"":98.0,""voltage"":25.035,""current"":0.554,""power"":13.87,""ocv"":25.064,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":736}"
2026-06-25T07:36:34.209227,98.0,25.034,0.439,10.99,0,"{""soc"":98.0,""voltage"":25.034,""current"":0.439,""power"":10.99,""ocv"":25.057,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":741}"
2026-06-25T07:36:39.211143,98.0,25.034,0.434,10.85,0,"{""soc"":98.0,""voltage"":25.034,""current"":0.434,""power"":10.85,""ocv"":25.057,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":746}"
2026-06-25T07:36:44.227561,98.0,25.033,0.432,10.8,0,"{""soc"":98.0,""voltage"":25.033,""current"":0.432,""power"":10.80,""ocv"":25.057,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":751}"
2026-06-25T07:36:49.156250,98.0,25.033,0.443,11.08,0,"{""soc"":98.0,""voltage"":25.033,""current"":0.443,""power"":11.08,""ocv"":25.057,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":756}"
2026-06-25T07:36:54.160335,98.0,25.032,0.432,10.8,0,"{""soc"":98.0,""voltage"":25.032,""current"":0.432,""power"":10.80,""ocv"":25.055,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":761}"
2026-06-25T07:36:59.181895,97.9,25.031,0.433,10.85,0,"{""soc"":97.9,""voltage"":25.031,""current"":0.433,""power"":10.85,""ocv"":25.055,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":766}"
2026-06-25T07:37:04.197211,97.9,25.031,0.439,10.99,0,"{""soc"":97.9,""voltage"":25.031,""current"":0.439,""power"":10.99,""ocv"":25.055,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":771}"
2026-06-25T07:37:09.218568,97.9,25.03,0.427,10.69,0,"{""soc"":97.9,""voltage"":25.030,""current"":0.427,""power"":10.69,""ocv"":25.053,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":776}"
2026-06-25T07:37:14.229574,97.9,25.029,0.436,10.89,0,"{""soc"":97.9,""voltage"":25.029,""current"":0.436,""power"":10.89,""ocv"":25.053,""cell_v"":4.172,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":781}"
2026-06-25T07:37:19.255458,97.9,25.028,0.439,11.01,0,"{""soc"":97.9,""voltage"":25.028,""current"":0.439,""power"":11.01,""ocv"":25.052,""cell_v"":4.171,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":786}"
2026-06-25T07:37:24.271240,97.9,25.027,0.445,11.12,0,"{""soc"":97.9,""voltage"":25.027,""current"":0.445,""power"":11.12,""ocv"":25.051,""cell_v"":4.171,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":791}"
2026-06-25T07:37:29.181773,97.9,25.026,0.433,10.83,0,"{""soc"":97.9,""voltage"":25.026,""current"":0.433,""power"":10.83,""ocv"":25.049,""cell_v"":4.171,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":796}"
